Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,6.532155,6.556185,6.532155,6.532155,1.536658,55900
1962-01-03,6.532155,6.632280000000001,6.524145,6.632280000000001,1.5602120000000002,74500
1962-01-04,6.632280000000001,6.66432,6.632280000000001,6.632280000000001,1.5602120000000002,80500
1962-01-05,6.632280000000001,6.65631,6.6162600000000005,6.62427,1.558326,70500
1962-01-08,6.60825,6.60825,6.339915,6.408,1.50745,93800
1962-01-09,6.408,6.508125,6.355935,6.355935,1.4952020000000001,64500
1962-01-10,6.355935,6.408,6.339915,6.363944999999999,1.497087,34500
1962-01-11,6.347925,6.347925,6.323894999999999,6.339915,1.491434,27900
1962-01-12,6.339915,6.347925,6.20775,6.20775,1.460343,26500
1962-01-15,6.139665,6.139665,6.05556,6.05556,1.42454,64500
1962-01-16,6.039540000000001,6.039540000000001,6.0075,6.0075,1.413234,27900
1962-01-17,6.0075,6.0235199999999995,6.0075,6.0075,1.413234,79900
1962-01-18,6.0075,6.0075,6.0075,6.0075,1.413234,89800
1962-01-19,6.0075,6.04755,6.0075,6.0235199999999995,1.417003,100400
1962-01-22,6.039540000000001,6.131655,6.039540000000001,6.039540000000001,1.420772,69900
1962-01-23,6.039540000000001,6.115635,6.01551,6.01551,1.415119,34500
1962-01-24,6.01551,6.01551,5.83929,5.955435,1.400986,45900
1962-01-25,5.955435,5.963445,5.915385,5.915385,1.391565,37900
1962-01-26,5.915385,5.931405000000001,5.915385,5.931405000000001,1.395334,37900
1962-01-29,5.931405000000001,5.955435,5.915385,5.923394999999999,1.393449,42500
1962-01-30,5.931405000000001,5.963445,5.931405000000001,5.963445,1.402871,30500
1962-01-31,5.963445,6.0075,5.947425,5.955435,1.400986,55900
1962-02-01,5.947425,5.947425,5.85531,5.931405000000001,1.395334,67900
1962-02-02,5.931405000000001,5.955435,5.907375,5.915385,1.391565,30500
1962-02-05,5.939415,5.963445,5.939415,5.939415,1.397218,72500
1962-02-06,5.915385,5.915385,5.82327,5.85531,1.384435,40500
1962-02-07,5.86332,5.939415,5.86332,5.915385,1.3986399999999999,45900
1962-02-08,5.915385,5.931405000000001,5.83929,5.86332,1.3863290000000001,51900
1962-02-09,5.86332,5.923394999999999,5.82327,5.82327,1.37686,33900
1962-02-12,5.82327,5.8312800000000005,5.815259999999999,5.815259999999999,1.374965,16600
1962-02-13,5.85531,5.915385,5.85531,5.86332,1.3863290000000001,62500
1962-02-14,5.83929,5.83929,5.747175,5.80725,1.373071,56500
1962-02-15,5.80725,5.907375,5.739165,5.739165,1.356974,62500
1962-02-16,5.739165,5.8312800000000005,5.739165,5.8312800000000005,1.378754,55900
1962-02-19,5.83929,5.907375,5.83929,5.86332,1.3863290000000001,29900
1962-02-20,5.86332,5.963445,5.8473,5.963445,1.4100030000000001,40500
1962-02-21,6.0075,6.131655,6.0075,6.03153,1.426101,56500
1962-02-23,6.03153,6.0635699999999995,6.0235199999999995,6.05556,1.4317819999999999,72500
1962-02-26,6.05556,6.107625,5.955435,6.107625,1.444093,82500
1962-02-27,6.107625,6.123645,6.107625,6.107625,1.444093,27900
1962-02-28,6.107625,6.22377,6.039540000000001,6.039540000000001,1.427994,47900
1962-03-01,6.039540000000001,6.307875,6.0235199999999995,6.255809999999999,1.4791290000000001,74500
1962-03-02,6.255809999999999,6.355935,6.255809999999999,6.331905,1.49712,41900
1962-03-05,6.331905,6.43203,6.331905,6.42402,1.518901,56500
1962-03-06,6.43203,6.508125,6.43203,6.4640699999999995,1.528371,75900
1962-03-07,6.4640699999999995,6.524145,6.44805,6.44805,1.524583,45900
